age 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002
0.000000e+00 1.972532e-02 1.925993e-02 1.941143e-02 1.795133e-02 1.908125e-02 1.828830e-02 1.810800e-02 1.801284e-02 1.835560e-02 1.713366e-02 1.470401e-02 1.456556e-02 1.401238e-02 1.380853e-02 1.341385e-02 1.285412e-02 1.318388e-02 1.259156e-02 1.044400e-02 1.058173e-02 9.212198e-03 8.626833e-03 8.751745e-03 8.520729e-03 8.687138e-03 8.114819e-03 7.103125e-03 7.051720e-03 6.938801e-03 7.360054e-03 7.545458e-03 6.797108e-03 6.814505e-03 7.073057e-03 6.754312e-03 7.022402e-03 6.583577e-03 5.920403e-03 5.225436e-03 4.646609e-03 4.353656e-03 3.832857e-03 3.901838e-03 3.999484e-03 3.983115e-03 4.088361e-03 4.025302e-03 3.629764e-03
1.000000e+00 1.599339e-03 1.578888e-03 1.747351e-03 1.304017e-03 1.369863e-03 1.455740e-03 1.253743e-03 1.161868e-03 1.057881e-03 8.107909e-04 1.022708e-03 1.200634e-03 7.351179e-04 8.434387e-04 7.274844e-04 7.747800e-04 5.745682e-04 6.605727e-04 6.360120e-04 7.689753e-04 6.597600e-04 5.475291e-04 5.428170e-04 4.716332e-04 7.652034e-04 5.637332e-04 3.838151e-04 4.402994e-04 3.523316e-04 3.966763e-04 4.421146e-04 5.765113e-04 4.510865e-04 5.131129e-04 3.717541e-04 3.955560e-04 3.833269e-04 3.288392e-04 2.820123e-04 3.796147e-04 3.493072e-04 4.011022e-04 3.759752e-04 3.700201e-04 1.719617e-04 2.807533e-04 2.190533e-04 3.389615e-04
2.000000e+00 1.207338e-03 1.185345e-03 9.960534e-04 1.009600e-03 9.785445e-04 7.971082e-04 9.333060e-04 1.046455e-03 9.681667e-04 5.667542e-04 8.442071e-04 7.073600e-04 5.588733e-04 5.429228e-04 6.862651e-04 4.966277e-04 5.286043e-04 4.486800e-04 4.836976e-04 5.167336e-04 4.883238e-04 5.323585e-04 5.094691e-04 1.864141e-04 4.316942e-04 2.815995e-04 3.334375e-04 3.436148e-04 3.204936e-04 1.658994e-04 2.706473e-04 2.518522e-04 3.889696e-04 2.537328e-04 2.643954e-04 3.874682e-04 2.050091e-04 3.318896e-04 2.657870e-04 1.716792e-04 2.047728e-04 1.332356e-04 6.974473e-05 2.633757e-04 1.436133e-04 8.573388e-05 2.794737e-04 3.919093e-04
3.000000e+00 8.665355e-04 1.026583e-03 9.514406e-04 9.375410e-04 9.177343e-04 7.260055e-04 8.346936e-04 7.277206e-04 5.233156e-04 9.090909e-04 7.341176e-04 5.479152e-04 6.706216e-04 6.873951e-04 4.780724e-04 6.483649e-04 3.974436e-04 5.626982e-04 4.142577e-04 2.693530e-04 3.612903e-04 3.648811e-04 4.953297e-04 4.027104e-04 2.419820e-04 3.331308e-04 3.015439e-04 3.126303e-04 3.033919e-04 1.803137e-04 3.519523e-04 2.907218e-04 2.092357e-04 2.652574e-04 2.135839e-04 3.556720e-04 2.384402e-04 2.890763e-04 2.811776e-04 2.022150e-04 9.259688e-05 1.574754e-04 2.166811e-04 1.569503e-04 9.400263e-05 8.180461e-05 1.492251e-04 1.069427e-04
4.000000e+00 9.104808e-04 6.676170e-04 8.998308e-04 8.246979e-04 7.127985e-04 8.084074e-04 6.166458e-04 5.003985e-04 5.412265e-04 5.416309e-04 4.438355e-04 7.491759e-04 4.553568e-04 5.502442e-04 7.352001e-04 6.330116e-04 2.990242e-04 3.656133e-04 3.775593e-04 3.972266e-04 4.483340e-04 2.917053e-04 4.156420e-04 3.880481e-04 3.849182e-04 3.163615e-04 2.348704e-04 3.619254e-04 2.501876e-04 1.618712e-04 1.399664e-04 1.240361e-04 1.862506e-04 2.082032e-04 3.651412e-04 2.118318e-04 1.858529e-04 2.191301e-04 2.542588e-04 2.632055e-04 1.538107e-04 2.468031e-04 2.207540e-04 1.333689e-04 8.709588e-05 7.504831e-05 1.018641e-04 1.483648e-04
5.000000e+00 7.403508e-04 5.835007e-04 6.131318e-04 8.261494e-04 6.454736e-04 7.316936e-04 6.432523e-04 6.339776e-04 7.038732e-04 6.528511e-04 6.334538e-04 6.915629e-04 4.483383e-04 4.368640e-04 5.158539e-04 5.716463e-04 5.195459e-04 4.726196e-04 4.309863e-04 6.024511e-04 5.049959e-04 3.401056e-04 3.080451e-04 5.351194e-04 3.349788e-04 2.446782e-04 2.232600e-04 1.958442e-04 2.412642e-04 1.461195e-04 3.032263e-04 1.997403e-04 2.883388e-04 2.058969e-04 1.861042e-04 1.408366e-04 7.654038e-05 1.110597e-04 1.455869e-04 1.854130e-04 1.463058e-04 1.382913e-04 1.696876e-04 1.261850e-04 8.329863e-05 5.219207e-05 9.351213e-05 8.113426e-05
6.000000e+00 5.867335e-04 7.071438e-04 5.146945e-04 7.557219e-04 6.109723e-04 4.486719e-04 5.822034e-04 4.591031e-04 5.612282e-04 5.742017e-04 5.953710e-04 4.273266e-04 5.174198e-04 4.672635e-04 5.827081e-04 2.906132e-04 4.112688e-04 4.100300e-04 2.530124e-04 3.363013e-04 2.755438e-04 3.425460e-04 3.571939e-04 2.730981e-04 3.109668e-04 2.994961e-04 2.798426e-04 1.303587e-04 3.724979e-04 2.011911e-04 1.878169e-04 1.414170e-04 1.194672e-04 2.665409e-04 1.638941e-04 1.436487e-04 2.197802e-04 1.711710e-04 1.475198e-04 1.084893e-04 8.333472e-05 1.947673e-04 2.304926e-04 1.387283e-04 1.890240e-04 9.980870e-05 5.205803e-05 1.862024e-05
7.000000e+00 6.365274e-04 8.553507e-04 7.396693e-04 3.939773e-04 5.397042e-04 6.653719e-04 5.564231e-04 6.198114e-04 5.692460e-04 3.801387e-04 5.546107e-04 3.526748e-04 3.707892e-04 4.024993e-04 5.028963e-04 4.890684e-04 4.933567e-04 4.119073e-04 3.007471e-04 2.540126e-04 3.207647e-04 2.752499e-04 3.601138e-04 3.032411e-04 2.560776e-04 2.075442e-04 2.295481e-04 2.102239e-04 9.333408e-05 2.355759e-04 2.613696e-04 8.346375e-05 1.412059e-04 1.389551e-04 1.223291e-04 2.033678e-04 1.426475e-04 1.788482e-04 2.654582e-04 2.199615e-04 1.964952e-04 8.323068e-05 9.731571e-05 1.074064e-04 1.231470e-04 7.862501e-05 1.161170e-04 8.650220e-05
8.000000e+00 5.280150e-04 5.431493e-04 7.913772e-04 3.285907e-04 5.136195e-04 3.780582e-04 4.141458e-04 3.767830e-04 4.694748e-04 4.223051e-04 3.072363e-04 4.425921e-04 3.706793e-04 5.186434e-04 4.021679e-04 4.813478e-04 3.246226e-04 4.259307e-04 2.542063e-04 1.427756e-04 3.809040e-04 3.203999e-04 2.748338e-04 2.874957e-04 3.032411e-04 2.391609e-04 2.595695e-04 2.651629e-04 1.929418e-04 1.493624e-04 5.887894e-05 2.611228e-04 8.324315e-05 1.407007e-04 1.976597e-04 1.416889e-04 8.089470e-05 1.418296e-04 3.165058e-04 7.535369e-05 1.266808e-04 3.568306e-05 1.663285e-04 1.619722e-04 1.225565e-04 3.071489e-05 1.097833e-04 3.305730e-05
9.000000e+00 5.993766e-04 4.223164e-04 5.119057e-04 4.426668e-04 5.090814e-04 3.083670e-04 3.245817e-04 3.420034e-04 3.407583e-04 3.941515e-04 5.863920e-04 2.705481e-04 2.761414e-04 3.705831e-04 3.888025e-04 4.571951e-04 2.580883e-04 3.607894e-04 3.926724e-04 2.548623e-04 3.965107e-04 3.804873e-04 9.601229e-05 1.714354e-04 2.334812e-04 2.675800e-04 1.710103e-04 1.385545e-04 2.654491e-04 1.930942e-04 1.679700e-04 2.352987e-04 1.604235e-04 8.298927e-05 8.008008e-05 2.943601e-04 1.407460e-04 1.005773e-04 1.009224e-04 3.927113e-05 7.444631e-05 1.084246e-04 1.960749e-04 2.324616e-04 1.131587e-04 2.140018e-04 1.531323e-05 6.251563e-05
1.000000e+01 4.208122e-04 3.446054e-04 4.972875e-04 4.491667e-04 4.898166e-04 3.450372e-04 3.950736e-04 4.143024e-04 3.958686e-04 3.586029e-04 4.871925e-04 3.475843e-04 3.061519e-04 3.864983e-04 2.223046e-04 3.317667e-04 4.741224e-04 2.949853e-04 1.988143e-04 2.735744e-04 1.911498e-04 3.641661e-04 3.324047e-04 2.236565e-04 1.028401e-04 1.616263e-04 2.676898e-04 1.711889e-04 1.908066e-04 1.771354e-04 1.052428e-04 3.356581e-04 1.762322e-04 1.599009e-04 1.032311e-04 1.590015e-04 1.366654e-04 2.001922e-04 1.401458e-04 2.004731e-04 7.762619e-05 1.299738e-04 1.082622e-04 1.777999e-04 1.490535e-04 9.680854e-05 1.372014e-04 1.526764e-04
1.100000e+01 3.862060e-04 3.755897e-04 5.240541e-04 3.611956e-04 3.097030e-04 2.055109e-04 2.798722e-04 3.433182e-04 4.142278e-04 5.037149e-04 3.402457e-04 3.927142e-04 2.375384e-04 3.236828e-04 3.861004e-04 4.240413e-04 2.568854e-04 2.843225e-04 3.138964e-04 3.617880e-04 1.709080e-04 2.545501e-04 2.687577e-04 2.211760e-04 2.236100e-04 1.028366e-04 1.616495e-04 8.931442e-05 2.056097e-04 2.776091e-04 1.770507e-04 2.629088e-04 2.420090e-04 1.951029e-04 1.194815e-04 1.640555e-04 9.888654e-05 9.711378e-05 1.796120e-04 1.392204e-04 1.188966e-04 1.162228e-04 9.269731e-05 8.998632e-05 1.773836e-04 1.322008e-04 1.286525e-04 9.110234e-05
1.200000e+01 5.270555e-04 4.826643e-04 4.805310e-04 4.488733e-04 3.911245e-04 2.942543e-04 3.326100e-04 2.797295e-04 3.604965e-04 3.782148e-04 3.234036e-04 3.037559e-04 3.173418e-04 2.192141e-04 4.312901e-04 1.647718e-04 4.775637e-04 2.751688e-04 3.224460e-04 2.403446e-04 3.614937e-04 2.559945e-04 2.062444e-04 2.525651e-04 2.210643e-04 2.556156e-04 1.886081e-04 1.616815e-04 1.965901e-04 1.713914e-04 1.387131e-04 1.414978e-04 1.924423e-04 2.043053e-04 1.748693e-04 1.188001e-04 8.166098e-05 1.181195e-04 1.934872e-04 9.918667e-05 1.573812e-04 3.957418e-05 9.670806e-05 1.664109e-04 1.793819e-04 1.239004e-04 4.936809e-05 1.602128e-04
1.300000e+01 6.266424e-04 4.394136e-04 5.627733e-04 3.602522e-04 4.189171e-04 4.662986e-04 4.195869e-04 3.798791e-04 3.126646e-04 3.604098e-04 3.597769e-04 3.586865e-04 3.390012e-04 4.663309e-04 2.009243e-04 3.580315e-04 3.280182e-04 2.754366e-04 2.570930e-04 3.416792e-04 2.401803e-04 2.887253e-04 1.874191e-04 4.274451e-04 2.682361e-04 2.367051e-04 2.397162e-04 1.371742e-04 1.797139e-04 1.787374e-04 2.056168e-04 2.251277e-04 1.765506e-04 2.095118e-04 2.037565e-04 2.126138e-04 1.772910e-04 2.236954e-04 1.569643e-04 9.618899e-05 2.160803e-04 1.374705e-04 7.906701e-05 1.543805e-04 2.214022e-04 1.610450e-04 1.587134e-04 6.552758e-05
1.400000e+01 4.417054e-04 4.243710e-04 6.500922e-04 4.339022e-04 4.200546e-04 5.535276e-04 4.229160e-04 4.506324e-04 4.113729e-04 5.098600e-04 4.112688e-04 3.770807e-04 3.760745e-04 3.566843e-04 2.793868e-04 4.545372e-04 3.564236e-04 3.825973e-04 4.225533e-04 4.409414e-04 5.121202e-04 5.532197e-04 2.522750e-04 3.231787e-04 2.375034e-04 3.470141e-04 3.627989e-04 1.438573e-04 1.715531e-04 2.336701e-04 2.320724e-04 3.936334e-04 2.938330e-04 3.694516e-04 2.437538e-04 1.657428e-04 1.348228e-04 1.374732e-04 2.024947e-04 1.756680e-04 1.714253e-04 1.961515e-04 1.569089e-04 1.380262e-04 2.501299e-04 2.024291e-04 1.248061e-04 1.931044e-04
1.500000e+01 7.902344e-04 8.404774e-04 6.461122e-04 6.141859e-04 7.546443e-04 5.699373e-04 6.121961e-04 7.090273e-04 6.210987e-04 7.116087e-04 4.599665e-04 4.957434e-04 4.300998e-04 6.263534e-04 8.730201e-04 7.416059e-04 8.852275e-04 6.763371e-04 8.565232e-04 3.862779e-04 5.139878e-04 5.496797e-04 5.526287e-04 4.857426e-04 7.478415e-04 3.322995e-04 4.099524e-04 3.943404e-04 4.791720e-04 4.458009e-04 3.770130e-04 4.811205e-04 4.269271e-04 3.789902e-04 4.383427e-04 3.464943e-04 3.118122e-04 2.877532e-04 3.522574e-04 2.014992e-04 1.933974e-04 2.281239e-04 2.939447e-04 4.298722e-04 2.162587e-04 2.876153e-04 3.116464e-04 2.840001e-04
1.600000e+01 8.222617e-04 9.549314e-04 9.236712e-04 1.107286e-03 9.292540e-04 8.667319e-04 7.950914e-04 6.414751e-04 6.332645e-04 9.768653e-04 8.520576e-04 7.859704e-04 6.479003e-04 8.048074e-04 8.747657e-04 9.210876e-04 6.819899e-04 7.216830e-04 6.767707e-04 7.660320e-04 7.351995e-04 7.328826e-04 4.921632e-04 4.965426e-04 5.928747e-04 5.607096e-04 4.428698e-04 4.256057e-04 4.416125e-04 4.153487e-04 4.453885e-04 4.304856e-04 6.050683e-04 6.134133e-04 3.264044e-04 4.184611e-04 5.003796e-04 2.924565e-04 3.248739e-04 3.894233e-04 2.995267e-04 4.630880e-04 1.519410e-04 4.887968e-04 1.754010e-04 3.136763e-04 2.289902e-04 3.284552e-04
1.700000e+01 1.121755e-03 1.229508e-03 9.527163e-04 1.107883e-03 1.005126e-03 1.103521e-03 8.826125e-04 7.939480e-04 8.937349e-04 7.372967e-04 7.885216e-04 9.103751e-04 5.708507e-04 6.973263e-04 8.919015e-04 6.896796e-04 9.479006e-04 1.177683e-03 6.498078e-04 8.014248e-04 9.828725e-04 8.070729e-04 8.593736e-04 7.737309e-04 6.791608e-04 7.354920e-04 7.126012e-04 5.215742e-04 4.098684e-04 4.257265e-04 6.065346e-04 6.160059e-04 4.838363e-04 6.394657e-04 4.415761e-04 4.445356e-04 6.776009e-04 6.016951e-04 3.274335e-04 1.710279e-04 5.208434e-04 3.188521e-04 2.119910e-04 5.682679e-04 4.091095e-04 3.686958e-04 3.709488e-04 2.278294e-04
1.800000e+01 1.057690e-03 1.160015e-03 1.203085e-03 9.051449e-04 1.229013e-03 1.121772e-03 1.204104e-03 1.054599e-03 1.165170e-03 1.291913e-03 1.285366e-03 1.208672e-03 1.184317e-03 1.022495e-03 7.946035e-04 1.087109e-03 1.146749e-03 1.242366e-03 1.193624e-03 1.170939e-03 1.099681e-03 8.336505e-04 8.572262e-04 1.309567e-03 9.025780e-04 7.492279e-04 9.998929e-04 8.299317e-04 1.088672e-03 9.605089e-04 8.813346e-04 8.125677e-04 7.338761e-04 5.893489e-04 1.165481e-03 7.419649e-04 7.820336e-04 4.503178e-04 6.324894e-04 7.046070e-04 6.024890e-04 3.848967e-04 3.976143e-04 6.918952e-04 4.723130e-04 6.802457e-04 3.864734e-04 4.855406e-04
1.900000e+01 1.256281e-03 1.142126e-03 1.244306e-03 1.428145e-03 1.066339e-03 9.774561e-04 1.094963e-03 1.231570e-03 1.481151e-03 1.354409e-03 1.179124e-03 1.151156e-03 8.189760e-04 1.272383e-03 1.209697e-03 1.228032e-03 1.238262e-03 1.026087e-03 1.084580e-03 1.064025e-03 1.057537e-03 1.056952e-03 9.716424e-04 1.123677e-03 1.068337e-03 8.958734e-04 8.171270e-04 8.550053e-04 8.959816e-04 8.036685e-04 6.909005e-04 7.378915e-04 9.991119e-04 9.351674e-04 1.223426e-03 1.171226e-03 8.545720e-04 5.761247e-04 6.903455e-04 5.953596e-04 5.727787e-04 4.131921e-04 4.226380e-04 5.150759e-04 5.764686e-04 7.159815e-04 6.974446e-04 7.313036e-04
2.000000e+01 1.112939e-03 1.249735e-03 1.431525e-03 9.061775e-04 1.107184e-03 1.127003e-03 1.224168e-03 1.343927e-03 1.176776e-03 1.205546e-03 1.301621e-03 1.196731e-03 9.980186e-04 1.286417e-03 1.176963e-03 1.146351e-03 1.116878e-03 1.072850e-03 1.152013e-03 1.051727e-03 1.369313e-03 1.141105e-03 9.982487e-04 1.108271e-03 9.383572e-04 9.532888e-04 1.168701e-03 8.882122e-04 8.362989e-04 1.063471e-03 9.575687e-04 8.910705e-04 1.015895e-03 1.089583e-03 8.948168e-04 8.066072e-04 8.170503e-04 7.856904e-04 5.063548e-04 4.974954e-04 8.106602e-04 6.428571e-04 5.813844e-04 5.749109e-04 7.126173e-04 8.824771e-04 8.076331e-04 7.332227e-04
2.100000e+01 1.374454e-03 1.169088e-03 9.554660e-04 1.143729e-03 1.229040e-03 1.103167e-03 1.036438e-03 1.043115e-03 1.230132e-03 1.218319e-03 9.694468e-04 1.232867e-03 9.801519e-04 9.323466e-04 7.937697e-04 1.034948e-03 1.152888e-03 1.172123e-03 1.312041e-03 1.235879e-03 1.234718e-03 1.175896e-03 1.075629e-03 1.230737e-03 1.080890e-03 8.930804e-04 8.552339e-04 9.981516e-04 7.964378e-04 7.990624e-04 9.402283e-04 9.056415e-04 1.071845e-03 8.856570e-04 8.295638e-04 8.474858e-04 6.439598e-04 9.517876e-04 7.331745e-04 5.032375e-04 6.641350e-04 5.058766e-04 7.666387e-04 6.184292e-04 7.467545e-04 7.312976e-04 1.012513e-03 6.172840e-04
